sample_set,layout_name,stratum_column,stratum_value,sample_count,raw_soft_MAE,raw_soft_MSE,raw_soft_regret,hard_top1_MAE,entropy,mean_max_weight,oracle_label_accuracy
staged_test,spatial_panel_3view,group_name,HIGH_HIGH_LOW,7123,0.46676522070494253,13.51089953933115,0.0703838789396028,0.4940300313401398,1.0744733492996386,0.5425061614061865,0.45163554682016005
staged_test,spatial_panel_3view,group_name,HIGH_HIGH_HIGH,6549,0.11006839032389826,0.3347266768306246,0.01171650297534017,0.12339364664378029,1.3831888534193229,0.3651422144921067,0.17391968239425867
staged_diagnostic,current_rgb_3view,group_name,LOW_HIGH_LOW,52536,0.40516802005359015,1.4468721454262157,0.046288569334747155,0.4314280239983581,1.0200722875404946,0.5617753813519464,0.48418227501142075
staged_diagnostic,current_rgb_3view,group_name,HIGH_HIGH_LOW,52110,0.34046422131037696,1.7333372324801148,0.03678800358223246,0.36227956076332146,1.120084802318054,0.5111943373885889,0.44780272500479756
staged_diagnostic,current_rgb_3view,group_name,HIGH_HIGH_HIGH,68735,0.10976065179885854,0.11516566812214046,0.006608216413260983,0.12292739099825745,1.376000016678436,0.3672578896840217,0.20232778060667783
staged_diagnostic,current_rgb_3view,group_name,LOW_HIGH_HIGH,38672,0.3388957383237449,0.45548436693643346,0.03660064829202138,0.35719664856695243,0.9495444032265337,0.5986650318456802,0.5446834919321473
staged_diagnostic,current_rgb_3view,group_name,HIGH_LOW_LOW,12853,0.5187787941654628,4.6209693123234645,0.09718612424984195,0.539492339479251,1.1032671010003718,0.5310869569292627,0.31953629502839803
staged_diagnostic,current_rgb_3view,group_name,LOW_LOW_LOW,12293,0.46729940640431433,1.1347111894761586,0.0890037196485596,0.48137014077962825,1.1560841676377789,0.5041574744282965,0.2678760270072399
staged_diagnostic,current_rgb_3view,group_name,HIGH_LOW_HIGH,12510,0.27675888484110217,0.20948645950008768,0.04162168266997725,0.2877690119832065,1.0870167483552564,0.5280016754980948,0.3677857713828937
staged_diagnostic,current_rgb_3view,group_name,LOW_LOW_HIGH,12435,0.15815586633200893,0.5320686501711214,0.02419918293902828,0.1638250798534281,1.376973918764573,0.3763030468542795,0.17314032971451548
staged_selection,current_rgb_3view,group_name,HIGH_HIGH_HIGH,62382,0.10852913635907556,0.11416408948634436,0.007115664256168415,0.12048899974549011,1.3776426037187006,0.36690847989792685,0.20459427398929178
staged_selection,current_rgb_3view,group_name,LOW_HIGH_LOW,56553,0.42864530298572484,3.5610354060337484,0.056913468892535686,0.452036469166603,1.0146677350859277,0.5694164617999471,0.4855445334465015
staged_selection,current_rgb_3view,group_name,HIGH_HIGH_LOW,53317,0.3318342085913363,1.3315407884298807,0.03624510029582431,0.3513522624011566,1.116273957512958,0.5139883700252006,0.452182230808185
staged_selection,current_rgb_3view,group_name,LOW_HIGH_HIGH,40027,0.3393802880115496,0.4504300838369421,0.03825999848633633,0.3562298191677582,0.9425910791630177,0.6042526331819185,0.5379119094611138
staged_selection,current_rgb_3view,group_name,HIGH_LOW_LOW,12624,0.5163318688854751,4.7272530498207885,0.09419300153036816,0.5364723129501365,1.103811307510555,0.5305042544648958,0.32271863117870725
staged_selection,current_rgb_3view,group_name,LOW_LOW_LOW,12294,0.4674861098875253,1.1099983740448611,0.08958976007770177,0.4825795612873389,1.1562790806258738,0.5045005569438421,0.27574426549536357
staged_selection,current_rgb_3view,group_name,HIGH_LOW_HIGH,12510,0.2778884770253377,0.2107102990260491,0.04310195227328546,0.2885461881266554,1.0848053920693952,0.5282103899118902,0.36586730615507596
staged_selection,current_rgb_3view,group_name,LOW_LOW_HIGH,12437,0.1553783682229458,0.34613171052147734,0.021300395935810637,0.16148441187408222,1.3770765863814864,0.376128293588833,0.17190640829782103
