variant,visual_input_mode,visual_dim,sample_set,method_kind,seed,method,selected_model,count,ratio
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,hard_top1,17,film_cls_mean_concat_aux_hard_top1,NaiveForecaster,502,0.0502
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,hard_top1,17,film_cls_mean_concat_aux_hard_top1,PatchTST,1486,0.1486
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,raw_soft_fusion,17,film_cls_mean_concat_aux_raw_soft_fusion,CrossFormer,389,0.0389
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,raw_soft_fusion,17,film_cls_mean_concat_aux_raw_soft_fusion,DLinear,4616,0.4616
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,raw_soft_fusion,17,film_cls_mean_concat_aux_raw_soft_fusion,ES,3007,0.3007
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,raw_soft_fusion,17,film_cls_mean_concat_aux_raw_soft_fusion,NaiveForecaster,502,0.0502
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,raw_soft_fusion,17,film_cls_mean_concat_aux_raw_soft_fusion,PatchTST,1486,0.1486
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,hard_top1,18,film_cls_mean_concat_aux_hard_top1,CrossFormer,539,0.0539
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,hard_top1,18,film_cls_mean_concat_aux_hard_top1,DLinear,4214,0.4214
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,hard_top1,18,film_cls_mean_concat_aux_hard_top1,ES,854,0.0854
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_selection_expanded,hard_top1,18,film_cls_mean_concat_aux_hard_top1,NaiveForecaster,2972,0.2972
